问题描述,归属模块,图像展示,负责人,重要程度,创建人,解决情况,验收结果,创建时间
测试发现商家端没有办法设置聚惠金抵扣了（所有端口相关的设置都消失了），这里与需求分析时确立的“管理端可以设置单个商户使用聚惠金抵扣的权限”不同，此问题为严重紧急问题，请立即修正。请注意在未与客户达成一致的情况下严禁修改项目功能实现！,"管理端, 商家端",Screen Recording 2026-01-02 at 20.59.10.mov,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/31
发现严重bug，用户付款为零时出现了聚惠金返还，此问题严重影响资金安全，需要立即解决（必须设置聚惠金抵扣和聚惠金返还不能同时出现，聚惠金返还必须按照实际支付金额［注意不包含配送费］进行计算）,客户端,6133dc4c7f2e0c2df374db7d5893c116.mp4,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/31
商户端提现手续费计算方式错误，提现弹窗为1%费率，实际执行为0.6元默认手续费，此问题直接影响平台资金健康，为严重紧急问题,商家端,"1767366362571.jpg,2778cd71fa007c17d12eb5a7d376118.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/31
骑手端“联系客服”点击按键操作无法跳转到拨号界面,骑手端,img_v3_02tg_8cbc1502-3fbd-46b5-8018-90d45b4d796g.jpg,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/31
用户解绑自提点后再次绑定其他自提点会被系统拒绝,自提点端,c6e27478c5d1d3ddfeaec6576929c08e.mp4,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/01
"自提点端修改信息功能并发性bug,提交审核后管理端查看和操作通过会报错“数据不存在”，此问题只会在“商家审核”位置出现，在“自提点审核”位置一切正常","管理端, 自提点端",20260101-1102-22.3948997.mp4,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/01
管理端分账明细板块存在缺少部分订单列表中订单信息的问题，如订单号：202512251542091822,管理端,image.png,,严重紧急,何新军,已解决，待审核,暂未遇到触发条件,2026/01/01
系统对进件商户能够正确实现抽佣行为，但是对个人商户（未进件）无法实际抽佣[此功能修复时可能需要登录商户后台比对确认],管理端,"1767372840788.jpg,image.png,b10565cd553961f0f2df801c97787a0.png,d6d017f6f55d53dc7720a62b010a399.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/01
商户“新军小店”存在未被系统记录的实际退款，需要复现此情景的具体实现路径并进行修复，保证所有退款信息被成功记录,管理端,"Screen Recording 2026-01-03 at 01.09.44.mov,6ec9df420de50813c3902ba6eeb254d.jpg,image.png",,严重紧急,杨兴辉,已解决，待审核,暂未遇到触发条件,2026/01/01
自提点信息更新提交后触发报错,自提点端,"Screen Recording 2026-01-10 at 16.31.43.mov,image.png",,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/01
客户端周期性服务页面无法正常展示顶部“月份及星期及展示和筛选”区域（可能为焦点定位问题），需要进行修复,客户端,f37c3c281f57a4704d0ead178ab030f6.mp4,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/03
客户端周期性服务卡片部分“社区”需要直接展示社区名称辅助用户判别是否为自己社区的活动（取消类似“本社区”的描述），防止误判,客户端,"Screen Recording 2026-01-04 at 01.37.05.mov,image.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/03
管理端服务审核部分展示信息缺少“服务类型”、周期性定点服务的“服务位置”的信息，需要进行补全,管理端,7f58eb156934b96862f4893371f3e64.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/03
商家端创建服务时需要添加如普通商品的“规格”属性，方便用户做细化筛选,商家端,Screen Recording 2026-01-11 at 00.28.01.mov,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/03
“服务类目”商品因特殊性需要在客户端设置“定金不退”规则提示并在服务创建中可以设置，在实际退款中能够实现（定金最终是否退还由管理端裁定）[配图为某服务商家的真实商品说明],"商家端, 管理端","Screen Recording 2026-01-11 at 19.55.01.mov,4a683d2df13eda8b562b0f1839dfd0a.png",,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/03
客户端“供销商城”和“分类”页面（同一路由）需要能够展示服务类商品，方便其获取更多曝光,客户端,4c9aa9f87fd581c7c9c1336ca157271c.mp4,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/03
客户端商品列表无法正常滑动查看,客户端,"Screen Recording 2026-01-05 at 12.16.25.mov,mmexport1767528384684.mp4",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/04
商户端创建商品时的商品栏目选项需要移除“外卖”、“团购”、“物业公司”类目，同时客户端也应该做相应的调整,"客户端, 商家端",mmexport1767528501189.jpg,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/04
商家端商品创建需要支持一个商品在多个栏目位置展示,商家端,mmexport1767528619347.png,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/04
管理端商品审核里详情页无法正常查看商品的多规格信息,管理端,Screen Recording 2026-01-10 at 02.21.06.mov,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/04
客户端推荐栏目中若商品为消费金可抵扣，那么也应该于“消费金专区一样”显示优惠后的价格,客户端,"Screen Recording 2026-01-08 at 01.01.33.mov,image.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/07
客户端小程序需要隐藏MVP暂时不上线的区域,客户端,"Screen Recording 2026-01-08 at 01.01.33.mov,1555f5ca63d418bdbd917c4f12d55a8.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/07
"1：下单未输入收货人信息也能下单，导致商家及打印机，自提点均无法知晓收货人信息。
配送方式，自提点时间的合并，订单备注的空间压缩，尽量展现全部内容",客户端,"image.png,image.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/08
所有端口APP均需要有忘记密码重置功能，并在MVP后的S1版本（即最终验收版本）手机号验证码方式认证,"客户端, 物业端, 商家端, 骑手端, 自提点端",,,等待排期,杨兴辉,未解决,待验收,2026/01/08
app注册流程无上传照片功能，妨碍管理端对自提点进行审核，需要补充相关信息与网页版本一致,自提点端,"image.png,img_v3_02to_9df62498-11c7-4858-8fb5-63feb6dc153g.jpg",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/08
自提点端存在ListView滚动组件嵌套导致的交互缺陷（根据实际测试进行的推断）页面上滑后均无法下滑恢复原点，详情请查看视频 ,自提点端,"Screen Recording 2026-01-09 at 19.11.50.mov,飞书20260108-195920.mp4",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/08
自提点端和商家端app查看订单详情页面缺少用户信息,"自提点端, 商家端","Screen Recording 2026-01-09 at 19.28.39.mov,img_v3_02to_85e0b22b-4123-4685-be5e-8beae2b7963g.jpg",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/08
物业端发放的消费金不能永久有效可以默认设置几个选项 1：7天    2:  30天    3：半年    4:  1年  （管理后台可以配置物业能发放的消费金有效期时间） 。物业端网页版也应该同步修改,物业端,,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/08
各端app在MVP版本需要开通语音播报功能，方便用户及时接收到系统消息,"物业端, 商家端, 骑手端, 自提点端",,,严重紧急,杨兴辉,已解决，待审核,暂未遇到触发条件,2026/01/08
自提点端app用户无法正常使用定位功能,自提点端,342687aae273e4cc55c999e05a85117d.mp4,,严重紧急,杨兴辉,技术债,待验收,2026/01/09
商户端app未添加摄像头权限。2026年1月20日：1.0.11.apk安装后仍为1.0.10版本，不能实现唤起摄像头功能,商家端,"飞书20260120-110559.mp4,877abdd88e2446dd5c8534aa4bd67dc7.mp4",,严重紧急,杨兴辉,已解决，待审核,驳回，需要重新修改,2026/01/09
管理端商户信息查看展示字段错误，需要检查对应解析方法修正,管理端,966c866b1fb61e9b2356c631e5d6a85.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/09
商户端app个人界面显示的销售额字段未正确接入，需要保证该组件接入真实数据,商家端,28b816a841a3b6717c4722b0bd207fc8.mp4,,严重紧急,杨兴辉,已解决，待审核,暂未遇到触发条件,2026/01/09
系统级联删除功能缺失，物业、小区、自提点、商家和商品删除后用户绑定的信息也应该同步删除（已经完成的订单信息除外），防止出现系统级bug,管理端,"img_v3_02tq_df6c6d7c-c744-4aa1-9066-c8b4894ae16g.jpg,image.png",,阶段性优先解决,杨兴辉,已解决，待审核,暂未遇到触发条件,2026/01/10
物业端无法自主审核小区住户绑定，管理端同样无相关功能设置,物业端,20260110-1409-21.0470807.mp4,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/10
商户端聚惠金抵扣提示与实际限制比例不符，需要以最低设置为准，详情可查看视频,商家端,20260110-1431-28.1396122.mp4,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/10
商家提现请求计算的金额是错的，需要进行修正,商家端,"Screen Recording 2026-01-13 at 00.58.26.mov,8bd87dd28a6ff555755d74221390d0c.png,28724d9b618903588ad6ee6e2683e379_raw.mp4,7f2ced98a949cdd74d30863ea98fa6c.jpg",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/12
商家端提现需要有最低提现数额设置（比如低于一元禁止提现）,商家端,Screen Recording 2026-01-13 at 02.09.41.mov,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/12
展示字段修正：聚惠金返还《改》聚惠金抵扣,管理端,6ae0a99a7ab6e53e7ff9b8ea71989c8.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/12
个人商家的入账托管账户和商家提现账户应设置成同一账户便于对账,管理端,,,严重紧急,杨兴辉,已解决，待审核,暂未遇到触发条件,2026/01/12
物业端用户列表无法查看楼号和单元号信息，同时存在多个用户申请成为同一住宅户主未被识别并拦截的问题。2026年1月15日：物业端用户列表无法查看楼号和单元号信息问题仍未解决,物业端,"image.png,Screen Recording 2026-01-13 at 17.21.52.mov,fbf58ac5933c8b00e245cd4f3cede5a.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/12
客户端用户绑定小区显示的奖励消费金金额与物业端后台实际设置不符“物业后台改为绑定自动发放100了，但是用户选择小区，还是显示300”,客户端,"Screen Recording 2026-01-13 at 17.27.02.mov,959887c0201d2ea425073a5992d1809.jpg",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/12
企业级商户的分佣明细没有修正成“部分展示形式”,商家端,faf4548471376eaff46aea437215183.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/12
分账未实现“聚惠金”返还的默认金额扣除（图示表单显示为正确的金额但是商户实际并未被扣除聚惠金金额），此问题为高危问题需要立即修正,商家端,faf4548471376eaff46aea437215183.png,,严重紧急,杨兴辉,已解决，待审核,暂未遇到触发条件,2026/01/12
用户使用聚惠金抵扣消费的情况下会导致商家应收货款为负数的情况，需要追溯问题并修复,商家端,faf4548471376eaff46aea437215183.png,,严重紧急,杨兴辉,已解决，待审核,暂未遇到触发条件,2026/01/12
自提点提现无法到账,自提点端,image.png,,严重紧急,杨兴辉,已解决，待审核,暂未遇到触发条件,2026/01/12
商家端》配送方式》闪送的起送金额改后无效,商家端,30633d3e8a0ed5614a2e4a5493c6ec33.mp4,,严重紧急,飞书用户9544WS,已解决，待审核,待验收,2026/01/14
周期性服务日历展示错误，日历上标识有服务的点击以后无法正常显示。2026年1月20日：根据测试无法判断问题出现原因和解决情况,客户端,"飞书20260120-113335.mp4,20260115-1425-03.0009094.mp4",,阶段性优先解决,杨兴辉,已解决，待审核,驳回，需要重新修改,2026/01/15
商家端app联系买家按键与收货人电话icon不能够实现拨打电话功能，缺少点击备货实现,商家端,50de9173f64c6d2c59faf53eb51c66b.jpg,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/15
严重问题:2个商家的产品加入购物车后支付，变成一个商家的订单，合单支付问题，合单支付后钱款到账与分账是否正确对应,商家端,,,严重紧急,杨兴辉,已解决，待审核,暂未遇到触发条件,2026/01/15
商户提现重试打款缺少超时后的错误处理机制，无法处理历史打款失败订单。2026年1月20日：重试打款测试未通过，报错提示余额不足可能和经营账户余额不足/商家经营账户余额不足（大概率为此）有关，需要先执行商家经营账户扣除余额回退，再执行重试打款操作,管理端,"20260120-0326-30.4214932.mp4,20260115-1446-36.2771105.mp4",,严重紧急,杨兴辉,已解决，待审核,驳回，需要重新修改,2026/01/15
骑手端需要完善系统状态机处理多骑手抢单问题,骑手端,image.png,,严重紧急,杨兴辉,已解决，待审核,暂未遇到触发条件,2026/01/15
所有合作伙伴的密码后台添加一下重置,,,,阶段性优先解决,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/01/16
商户端商品单位增加：条、箱、只、条、提、块,商家端,,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2026/01/19
无效数据全部清空（数据看板全部要对应上）【此操作等待所有功能点bug验收通过后进行】,管理端,,,,飞书用户9544WS,未解决,待验收,2026/01/22
客户端购物车部分用户创建包含多个商家商品的订单后系统应支持自动按照商家、商品类型拆分并创建多个不同订单,"管理端, 客户端",ed140f74e5ea974c0e9b4d5a7651550.png,,严重紧急,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/01/22
需要开发编写完善的分账配置说明文档，包含不同类型商户的钱款流动链路、多层级分账设置、提现功能，的说明,管理端,,,严重紧急,飞书用户9544WS,已解决，待审核,待验收,2026/01/22
客户端区域商家识别范围应该修正为县城、区（目前所在同一市级行政单位下的所有店铺都可以被定位在此城市的用户获取和发现）,客户端,,,严重紧急,飞书用户9544WS,已解决，待审核,待验收,2026/01/22
各端IOSapp需要上传至testflight并开启“外部测试 (External Testing)”，具体操作参考文档,"物业端, 商家端, 骑手端, 自提点端",ios分发指南.pdf,,严重紧急,飞书用户9544WS,已解决，待审核,待验收,2026/01/22
小程序部分界面空间压缩下，例如图,客户端,1b2a53e5a2c4064c801b330f947a94c.jpg,,严重紧急,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/01/22
用户最近订单状态显示不对,,3f9d32b924bf93671a9730bad263731.png,,,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/01/27
自提点佣金显示错误（3%）,,acbd69b6dfaea939dd73fc78e96eda0.png,,,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/01/27
自提点已通过审核几天，任然无法操作，商家端也一致有同样问题,,"151b122a00c6ad108cc0966b2e3e612.png,259e78b5333fb0f6a27ae23fe8131e7.png,4017e5719453b9ca9a6ed3715d80af6.png",,严重紧急,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/01/27
分享页面需要单独分享这个服务为封面，与商品一致，图片需要符合分享的尺寸，服务类的详情也未展示，产品的分享看前面2图实现，谢谢    注：分享到微信页面（按照1图展示价格）按照1图修改字样，谢谢,,"微信图片_20260131120257.png,微信图片_20260131120253.png",,严重紧急,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/01/27
服务板块，商家联系方式需要向用户端隐藏,,6f85778da2a438150534eba8995dcf4.png,,阶段性优先解决,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/01/27
商家分账展示金额错误,,022107f33411ac76156116790ca48eb.png,,严重紧急,飞书用户9544WS,已解决，待审核,待验收,2026/01/27
"骑手端不正常，一直未有单显示，每次打开APP需要点击上线及接单配置，需要调整只要未退出登录或者手动下线，需要一直在线，保持可接单提醒状态,来单提醒",,,,严重紧急,飞书用户9544WS,已解决，待审核,驳回，需要重新修改,2026/01/27
"个人中心的关于我们，需要向用户展示协议，官方要求，后台需要可配置协议上传的地方，协议内容包括各方合作伙伴申请合作时候的阅读并同意签署协议，还有向用户展示的协议都有地方上传
注：需要可上传文档，现在只能文字类型，用户展示的排版不对，另需要各方入住时间确认签署，并且各端可查看签署的文件",,ad5ad2c8659b7f9b9fa9084f86ac894.png,,阶段性优先解决,飞书用户9544WS,未解决,驳回，需要重新修改,2026/01/27
所有端的下单时间均未与北京时间同步,,4b6a26bfdefc82d95d38c02df76ccc6.png,,严重紧急,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/01/27
"1外卖板块的UI与外卖商家配置的展示需要完善，（需要修改商家表单，添加外卖主营类型字段［string/Jason］，达到一个外卖商家可以在多种外卖主营类型中展示（比如：“四级家常菜”店铺在用户点击包子水饺、家常炒菜时均可展示）
字段限制如下（直接参考美团）                                                           注：驳回原因，完全未按照UI来，还是商城一致的，那么完全没有意义， 需要开通外卖的商家才能在此展示，UI需要重新定义，分类也需要按店铺类型定义
",,e06950153372308805287f8b0d1dde0.png,,严重紧急,飞书用户9544WS,已解决，待审核,驳回，需要重新修改,2026/01/27
服务板块需要进行测试支付款与定金不退款的实现,,,,严重紧急,飞书用户9544WS,已解决，待审核,待验收,2026/01/27
物业端的审核用户，查看不到用户信息，还有数据看板未正常，另外房屋栋号需要添加abcd这样也能数字，是否物业端未更新,,"74082337a2d134c288d06c593058363.jpg,b0c76902f832689602bfe72dbd54bb0.jpg",,严重紧急,飞书用户9544WS,已解决，待审核,待验收,2026/01/27
站内消息的展示与快捷处理，已读消息的自动处理未实现,,ede2644c52132cd4b00111f3cbe3ce6.png,,阶段性优先解决,飞书用户9544WS,已解决，待审核,待验收,2026/01/27
商家接单，备好货与发货一键操作，骑手接单送达二次操作，自提点核销一键操作，简便流程，三端搭配协调流程，各端的数据用户未完成支付均不予展示及数据看板计算。                                注：此项需辛苦开发帮测试流程跑通，各方的便捷操作与展示状态核对，核对用户端订单状态与以上三端步骤是否一致。   ,,"eb8ce9df0fb7be37d094a4ec4033a8ab.mp4,633a6d4e482bab7ff9a7acad05a58b96.mp4",,严重紧急,飞书用户9544WS,已解决，待审核,驳回，需要重新修改,2026/01/27
1一键微信名称，头像，电话同步授权，简便用户操作   注：现在太复杂了，基本用户不选择头像及填写名称，需要简化及突出需要点击的地方颜色区分,,,,等待排期,飞书用户9544WS,未解决,驳回，需要重新修改,2026/01/27
管理端展现的信息需要齐全,,image.png,,阶段性优先解决,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/01/27
"所有合作伙伴的证件类型在所有查看与审核界面需要正确展示类型，
注：看图，自提点审核界面的主体类型任全展示的企业，是否漏掉了，请检查下",,"image.png,9edf405501cb59f61aeb7f435792ac1.png",,严重紧急,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/01/27
隐藏1：隐藏登录后选择绑定步骤（直接跳过）让用户下单首次选择自提点作为下次默认首选，2：隐藏下单界面的的优惠券（暂无先隐藏）,,,,严重紧急,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/01/28
商品能否生成二维码，商家打印商品二维码，用户扫码快速下单付款现场带走？如不能实现在文字最前面标1，谢谢,,,,等待排期,飞书用户9544WS,未解决,待验收,2026/01/28
管理端审核商品不可见多规格，需要添加多规格可查看，服务端也需要审核全部信息，用户查看商品有多规格的多规格位置添加原价价展示优化,,"image.png,image.png,1769786108864.png",,严重紧急,user720283,已解决，待审核,通过，任务关闭,2026/01/28
"加急增加工单：客户这边对于客户端下单界面，需要新增一个限购功能，要求对每一个商品能够设置单个账号在特定周期内（比如每周/每日/每月）能够购买的数量。
同时需要对规格进行定制化限制：如a规格，每月限购一份，b规格每月限购三份。如果满足其中一个规格限制，则另一规格无法购买（达到商家亏钱影流品的限购目的）",,,,等待排期,飞书用户9544WS,未解决,待验收,2026/01/31
要求用户绑定自提点自动通过并按配置发放消费金,,,,严重紧急,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/02/01
商品配置里面的产品数量未随订单的数量相应减少，限购未起到作用,,,,严重紧急,飞书用户9544WS,已解决，待审核,待验收,2026/02/02
"自提点分润查询未正确，内外展示不一致（账号：15616699312  密码：123456）流程及到账展示步骤进行测试,    注：需要测试佣金的数据核对，提现情况操作需要优化简单。",,"1770388218216.png,1770388208154.png,1770388200708.png",,严重紧急,飞书用户9544WS,已解决，待审核,待验收,2026/02/06
各端申请页面，填写及选择数据的位置空间仔细核对，各端能顺利填写及选择，查看信息，避免填写空间不足导致合作商申请操作带来困扰。细节问题，请按照用户角度进行一遍操作后再优化，谢谢,,"1770688575839.png,1770688620549.jpg",,严重紧急,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/02/08
管理端数据看板需要全部细致过一遍，数据看板的准确性及数据可点击跳转查看，图案列，管理端各项需核对（不限于管理端）,,image.png,,阶段性优先解决,飞书用户9544WS,已解决，待审核,驳回，需要重新修改,2026/02/10
商家产品列表的图片放大无效，请优化可放大，商家产品导出导入有误（详情图文未导出），未明确,,"35847cca41d3faf95f4284821dec3f6.jpg,1770708143504.png",,阶段性优先解决,飞书用户9544WS,已解决，待审核,通过，任务关闭,2026/02/10
消费金送后不退回（原因：现在退回问题太多，不适合），最多2个自提点赠送后解绑均不退，2个后再绑定不赠送。      图像展示中的电话：13054064785（位置个人中心的合作申请里面）,,32898629c2fb2e76036e5cf47049ab9.jpg,,阶段性优先解决,飞书用户9544WS,已解决，待审核,待验收,2026/02/10
请查看并调整，未标识清楚未看懂请随时电话沟通，修改后请及时告知下，谢谢，可按文件发回告知,,2-12.docx,,严重紧急,飞书用户9544WS,已解决，待审核,待验收,2026/02/12
自提点佣金提现打款有误，此自提点佣金8.06，一共提现了4次8及8.06申请提现到账。,,"49bc128dbdcc13898193e025c5baa97.png,421262e7c89f818197283f44aeee0bf.jpg,1770876729709.jpg,1770876569761.jpg",,严重紧急,user720283,已解决，待审核,待验收,2026/02/12
新增加外卖商品，测试下单加入购物车显示商品不存在，无法进一步测试，如果外卖商家选择闪送自配送，那么闪的费用是否收取，收取到账是商家，还是在骑手专用账户（请给于说明）,,25d4ec70ae152b9ffecfc0e13a2add9.jpg,,严重紧急,飞书用户9544WS,已解决，待审核,驳回，需要重新修改,2026/02/12
"自提点，帐号：15673442131    密码：123456
这个自提点没有入账佣金？（注）佣金还是错误，不单独修改一家的逻辑，需要系统的正确。",,image.png,,严重紧急,飞书用户9544WS,未解决,驳回，需要重新修改,2026/02/15
用户签收，等待期48小时自动确认签收未实现,,,,严重紧急,飞书用户9544WS,未解决,待验收,2026/02/15
商家产品发布后，后台审核通过后直接上架，无需商家再点上架,,,,,飞书用户9544WS,未解决,待验收,2026/02/15
服务板块定金“不可退款”功能系统需要设置为“距离预约时间半小时内不可退”,客户端,,,重要紧急,杨兴辉,未解决,待验收,2026/03/01
客户端服务板块详情页面部分顶部图片图文显示不全，需要进行优化,客户端,image.png,,重要紧急,杨兴辉,未解决,待验收,2026/03/11
商户端服务商品设置时对大类额外定价功能开发不全面，应支持同一大类不同选项支持不同加价规则，最终客户端实现效果可以参考附件图片,商家端,image.png,,重要紧急,杨兴辉,未解决,待验收,2026/03/11
客户端服务商品也需要添加购买数量选择功能,客户端,,,重要紧急,杨兴辉,未解决,待验收,2026/03/11
客户端服务板块需要添加服务预约时间监测限制，如当日3月2日则不可预约3.1的服务，当日中午10：00后只能预约10：00之后的时间段,客户端,,,重要紧急,杨兴辉,未解决,待验收,2026/03/11
商户端商品需要添加“限购数量”和“起购数量”两个参数，同时“限购”功能需要设置“每日/每周/每月/每季度/每年限购/永久限购”的时间限制和“家庭限购”的社会关系限制两种并行的规则,"客户端, 商家端",,,等待排期,杨兴辉,未解决,待验收,2026/03/11
服务板块也应该支持商品板块相同的“两金”规则和设置,"客户端, 商家端",,,重要紧急,杨兴辉,未解决,待验收,2026/03/11
用户预约服务查询只能通过“个人中心”中“我的预约”查看，不直观、不方便，服务版块中适宜增加个人预约查看，另需增加预约行程提醒，包括站内消息。,客户端,,,重要紧急,杨兴辉,未解决,待验收,2026/03/11
服务版块也需要与商城与外卖板块一样，需要支持服务类目选择和配置,"客户端, 管理端, 商家端",,,重要紧急,杨兴辉,未解决,待验收,2026/03/11
订单信息中“服务时间”、“下单时间”之类的修改为中文版式,客户端,image.png,,重要紧急,杨兴辉,未解决,待验收,2026/03/11
